"FFMC","s(FFMC)"
68.3,-0.398304244002323
68.4,-0.395075016261573
68.5,-0.391829561607609
68.6,-0.38856774849364
68.7,-0.385289445372877
68.8,-0.381994520698529
68.9,-0.378682842923806
69,-0.375354280501918
69.1,-0.372008701886075
69.2,-0.368645975529488
69.3,-0.365265969885367
69.4,-0.36186855340692
69.5,-0.358453594547358
69.6,-0.355020961759892
69.7,-0.351570523497731
69.8,-0.348102148214085
69.9,-0.344615704362164
70,-0.341111060395178
70.1,-0.337588084766338
70.2,-0.334046645928852
70.3,-0.330486612335932
70.4,-0.326907852440787
70.5,-0.323310234696626
70.6,-0.319693627556661
70.7,-0.316057899474101
70.8,-0.312402918902156
70.9,-0.308728554294036
71,-0.305034674102951
71.1,-0.301321146782111
71.2,-0.297587840784726
71.3,-0.293834624564006
71.4,-0.290061366573161
71.5,-0.286267935265401
71.6,-0.282454199093935
71.7,-0.278620026511975
71.8,-0.27476528597273
71.9,-0.270889845929409
72,-0.266993574835224
72.1,-0.263076341143383
72.2,-0.259138013307097
72.3,-0.255178459779576
72.4,-0.25119754901403
72.5,-0.247195149463669
72.6,-0.243171129581702
72.7,-0.23912535782134
72.8,-0.235057702635793
72.9,-0.230968032478271
73,-0.226856215801984
73.1,-0.222722121060141
73.2,-0.218565616705953
73.3,-0.21438657119263
73.4,-0.210184852973381
73.5,-0.205960330501417
73.6,-0.201712872229948
73.7,-0.197442346612184
73.8,-0.193148622101334
73.9,-0.188831567150609
74,-0.184491050213218
74.1,-0.180126939742372
74.2,-0.175739104191281
74.3,-0.171327412013155
74.4,-0.166891731661202
74.5,-0.162431931588635
74.6,-0.157947880248661
74.7,-0.153439446094493
74.8,-0.148906497579339
74.9,-0.144348903156409
75,-0.139766531278915
75.1,-0.135159250400064
75.2,-0.130526928973068
75.3,-0.125869460789566
75.4,-0.121186881427521
75.5,-0.116479275756063
75.6,-0.111746728693805
75.7,-0.106989325159367
75.8,-0.102207150071363
75.9,-0.09740028834841
76,-0.0925688249091252
76.1,-0.0877128446721234
76.2,-0.0828324325560229
76.3,-0.0779276734794395
76.4,-0.0729986523609882
76.5,-0.0680454541192872
76.6,-0.063068163672952
76.7,-0.0580668659405999
76.8,-0.0530416458408461
76.9,-0.0479925882923081
77,-0.0429197782136018
77.1,-0.0378233005233434
77.2,-0.0327032401401503
77.3,-0.0275596819826368
77.4,-0.0223927109694222
77.5,-0.0172024120191212
77.6,-0.0119888700503496
77.7,-0.00675216998172559
77.8,-0.00149239673186388
77.9,0.00379036478061739
78,0.00909602963710268
78.1,0.0144245129189766
78.2,0.0197757297076206
78.3,0.0251495950844206
78.4,0.0305460241307581
78.5,0.0359649319280174
78.6,0.0414062335575829
78.7,0.0468698441008368
78.8,0.0523556786391643
78.9,0.0578636522539474
79,0.0633936800265703
79.1,0.0689456770384171
79.2,0.0745195583708703
79.3,0.0801152391053146
79.4,0.0857326343231328
79.5,0.0913716591057085
