"FFMC","s(FFMC)"
72.5,-0.157488397709874
72.6,-0.154773419262136
72.7,-0.152039989323124
72.8,-0.149288100830076
72.9,-0.146517746720232
73,-0.143728919930831
73.1,-0.140921613399112
73.2,-0.138095820062314
73.3,-0.135251532857676
73.4,-0.132388744722438
73.5,-0.129507448593839
73.6,-0.126607637409117
73.7,-0.123689304105512
73.8,-0.120752441620263
73.9,-0.11779704289061
74,-0.114823100853791
74.1,-0.111830608447045
74.2,-0.108819558607613
74.3,-0.105789944272732
74.4,-0.102741758379643
74.5,-0.0996749938655836
74.6,-0.0965896436677937
74.7,-0.0934857007235127
74.8,-0.0903631579699793
74.9,-0.0872220083444326
75,-0.0840622447841123
75.1,-0.0808838602262568
75.2,-0.0776868476081061
75.3,-0.074471199866899
75.4,-0.0712369099398742
75.5,-0.0679839707642718
75.6,-0.0647123752773299
75.7,-0.0614221164162887
75.8,-0.058113187118387
75.9,-0.0547855803208632
76,-0.051439312812259
76.1,-0.0480745348459156
76.2,-0.044691443073411
76.3,-0.0412902341929062
76.4,-0.0378711049025621
76.5,-0.0344342519005415
76.6,-0.0309798718850044
76.7,-0.0275081615541141
76.8,-0.0240193176060302
76.9,-0.0205135367389159
77,-0.016991015650932
77.1,-0.0134519510402396
77.2,-0.00989653960500096
77.3,-0.00632497804337692
77.4,-0.00273746305352984
77.5,0.000865808666379281
77.6,0.00448464041818935
77.7,0.00811883550373799
77.8,0.0117681972248644
77.9,0.0154325288834064
78,0.0191116337812028
78.1,0.0228053152200925
78.2,0.0265133765019131
78.3,0.0302356209285041
78.4,0.0339718518017028
78.5,0.0377218724233486
78.6,0.0414854860952799
78.7,0.0452624961193346
78.8,0.049052705797352
78.9,0.0528559184311699
79,0.0566719373226266
79.1,0.060500565773562
79.2,0.0643416070858128
79.3,0.0681948645612187
79.4,0.0720601415016173
79.5,0.0759372412088475
79.6,0.0798259669847485
79.7,0.0837261221311574
79.8,0.087637509949914
79.9,0.0915599337428556
80,0.0954931968118213
80.1,0.09943710245865
80.2,0.103391453985179
80.3,0.107356054693248
80.4,0.111330707884695
80.5,0.115315216861358
80.6,0.119309384925077
80.7,0.123313015377688
80.8,0.127325911521032
80.9,0.131347876656946
81,0.135378714087268
81.1,0.139418227113838
81.2,0.143466219038494
81.3,0.147522493163075
81.4,0.151586852789417
81.5,0.155659101219362
81.6,0.159739041754746
81.7,0.163826477697408
81.8,0.167921212349187
81.9,0.172023049011921
82,0.176131790987449
82.1,0.180247241577609
82.2,0.184369204084239
82.3,0.188497481809179
82.4,0.192631878054266
82.5,0.196772196121339
82.6,0.200918239312237
82.7,0.205069810928798
82.8,0.209226714272861
82.9,0.213388752646263
83,0.217555729350844
83.1,0.221727447688442
83.2,0.225903710960895
83.3,0.230084322470043
83.4,0.234269085517722
83.5,0.238457803405773
83.6,0.242650279436033
83.7,0.24684631691034
83.8,0.251045719130535
83.9,0.255248289398454
84,0.259453831015936
84.1,0.26366214728482
84.2,0.267873041506944
84.3,0.272086316984147
84.4,0.276301777018267
84.5,0.280519224911143
84.6,0.284738463964614
84.7,0.288959297480516
84.8,0.29318152876069
84.9,0.297404961106974
85,0.301629397821205
85.1,0.305854642205224
85.2,0.310080497560867
85.3,0.314306767189974
85.4,0.318533254394383
85.5,0.322759762475932
85.6,0.326986094736461
85.7,0.331212054477807
85.8,0.335437445001809
85.9,0.339662069610305
86,0.343885731605135
86.1,0.348108234288136
86.2,0.352329380961146
86.3,0.356548974926005
86.4,0.360766819484551
86.5,0.364982717938622
86.6,0.369196473590057
86.7,0.373407889740694
86.8,0.377616772917777
86.9,0.381823027469013
87,0.386026670832853
87.1,0.390227726747365
87.2,0.394426218950615
87.3,0.39862217118067
87.4,0.402815607175598
87.5,0.407006550673465
87.6,0.41119502541234
87.7,0.41538105513029
87.8,0.419564663565381
87.9,0.42374587445568
88,0.427924711539256
88.1,0.432101198554175
88.2,0.436275359238505
88.3,0.440447217330313
88.4,0.444616796567665
